name	maxEnrichment	numberClusters	meanEnrichment	meanPValue	sumEnrichment	sumPValue	meanInd	meanDims	meanPheno	time
doc_big_0.2_0.75_0.78778073394703	8.47308546810387_0.00360439534974246	1_4_5	8.47308546810387_1.91524110419431_3.22680997697622	0.00360439534974246_0.221654436421126_0.178044428206849	8.47308546810387_7.66096441677724_16.1340498848811	0.00360439534974246_0.886617745684505_0.890222141034247	373_343.5_349.4	11476_219_2470.4	0.0681367215494658_0.0446974689211111_0.049385319446782	180.232
doc_big_0.2_0.75_0.78778073394703	8.47308546810387_0.00360439534974246	2_2_4	6.65173460986629_0.126635894197346_3.38918525203182	0.0157834006591707_0.771459389908825_0.393621395283998	13.3034692197326_0.253271788394693_13.5567410081273	0.0315668013183414_1.54291877981765_1.57448558113599	614_259.5_436.75	5836_106.5_2971.25	0.0477807566279416_0.0134680763626854_0.0306244164953135	159.938
doc_big_0.4_0.25_0.393890366973515	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_0.393890366973515
doc_big_0.4_0.25_0.393890366973515	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_0.393890366973515
doc_big_0.4_0.25_0.393890366973515	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_0.393890366973515
doc_big_0.4_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_0.78778073394703
doc_big_0.4_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_0.78778073394703
doc_big_0.4_0.25_0.78778073394703	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_0.78778073394703
doc_big_0.4_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_1.28014369266392
doc_big_0.4_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_1.28014369266392
doc_big_0.4_0.25_1.28014369266392	NA	NA	NA	NA	NA	NA	NA	NA	NA	doc_big_0.4_0.25_1.28014369266392
doc_big_0.4_0.5_0.393890366973515	1.00438875868682_0.316250881966764	0_2_2	NaN_NaN_1.00438875868682	NaN_NaN_0.316250881966764	0_0_2.00877751737363	0_0_0.632501763933528	NaN_NaN_873.5	NaN_NaN_5767	NaN_0.0125574278611662_0.0125574278611662	82.331
doc_big_0.4_0.5_0.393890366973515	1.00438875868682_0.316250881966764	0_2_2	NaN_NaN_1.00438875868682	NaN_NaN_0.316250881966764	0_0_2.00877751737363	0_0_0.632501763933528	NaN_NaN_873.5	NaN_NaN_5767	NaN_0.0125574278611662_0.0125574278611662	78.744
doc_big_0.4_0.5_0.393890366973515	1.00438875868682_0.316250881966764	0_2_2	NaN_NaN_1.00438875868682	NaN_NaN_0.316250881966764	0_0_2.00877751737363	0_0_0.632501763933528	NaN_NaN_873.5	NaN_NaN_5767	NaN_0.0125574278611662_0.0125574278611662	78.263
doc_big_0.4_0.5_0.78778073394703	2.34379029083775_0.125783172151457	0_3_3	NaN_NaN_1.44051830059194	NaN_NaN_0.259439941478303	0_0_4.32155490177581	0_0_0.77831982443491	NaN_NaN_582.333333333333	NaN_NaN_3874	NaN_0.026076425878254_0.026076425878254	60.262
doc_big_0.4_0.5_0.78778073394703	2.46103294996029_0.116702013814327	0_3_3	NaN_NaN_1.7008484805755	NaN_NaN_0.275933039462627	0_0_5.1025454417265	0_0_0.82779911838788	NaN_NaN_582.333333333333	NaN_NaN_3874	NaN_0.0288191270200781_0.0288191270200781	58.874
doc_big_0.4_0.5_0.78778073394703	2.47005747727012_0.116033681357992	0_3_3	NaN_NaN_1.60461592270263	NaN_NaN_0.413938951169815	0_0_4.81384776810788	0_0_1.24181685350945	NaN_NaN_582.333333333333	NaN_NaN_3874	NaN_0.0144776360111951_0.0144776360111951	58.542
